,정제된 댓글,label
136,윤석열 지지자들이 또 바보같은 게,0
137,코스피 더럽고 추접해서,0
138,나토가서 헛소리 하기전에 팔아라,0
139,이재명 장남 불법 도박 이후 예금 급증,0
140,노인짐 불륜뇬,0
141,시간외 물량없다 와 내일 만,0
142,대구경북놈 윤코인 믿다,1
143,민주당 대선포기,0
144,리픽싱 제도 개선,1
145,드뎌 강하게 가냐,1
146,씨젠 시장이 예측하기 힘든 파격적 매출,0
147,욕하지 마라 역사를 아는 의인이다,0
148,정권교체 지지하는분들,0
149,거 내가 실수한건 맞는데,0
150,문재앙보다 더큰 재앙 윤재앙,0
151,솔직히 인정한다,1
152,민주당 지지자들 왜 난민반대함,0
153,대 어차피 희망 없잖아 대학교 졸업하,1
154,문통덕에 선진국에 살게 해주셔서 감사했습,1
155,한동훈 법무장관 지명은 많은 의혹들이 사,0
156,간판소용없다,0
157,세상에는 웃기는 일들이 많아,1
158,는 찍을 넘이 없다,0
159,자신이 하는 거짓말을 믿는 증상,0
160,당선된듯 오만한 윤가 보수가치 무너뜨려,1
161,아크는 당연히 걱정않지,0
162,이유없이 악의적으로,0
163,보수는 악마다,0
164,오늘은 여기까지가 한계,0
165,전염병후 대공황,0
166,좋은 사냥감 있습니다,1
167,진짜 좌파정권에 소름이돋네,0
168,대한민국을위해 없어져야할 종자,0
169,집이없다 자슥아 첨단산업 육성,0
170,짐승만도 못한 이재용을 재구속 하라,0
171,미래를 보자 바보 아니잖아,0
172,와 최악이다,0
173,전강 후약 멀 기대하노,1
174,이제 민주당이 모든것 잘못,0
175,민주화 운동 정권 손에 민주주의가 파괴,0
176,바이든 한국에 윤 모지리 대상으로 삥 뜯,1
177,니꼬라쥐는 반란 내란수괴떨마니잔당,0
178,주식 성공 비결은,1
179,개 악마들이 개미 죽이려 작전중 갸관 등,0
180,부럽다 하이닉스,0
181,날 좋아하는 여자는,1
182,넷플릭스 지옥의 사이비들을 보며 빨갱이들,0
183,내 연애사,1
184,삼성은 연기금한테 잘 해라,1
185,파란색이 참 시원해 보인다,0
186,우울하다,0
187,달러 환율 원 돌파 최악,0
188,윤무당 불안,0
189,진중권 추미애에 일진이냐 이분 껌,0
190,니네같은 투기꾼은 삼전 가질 자격없다,0
191,안타깝다,0
192,금요일 사서 수요일 팔면 계속 이익이네,1
193,철수 삐졌다 여자같이,0
194,년컨센 삼성전자 이익 컨센 조 천,1
195,경축 당선 축하드립니다,1
196,난 통일은 필수라고 본다,1
197,금투가 나가면 좋은 현상이지,1
198,세금 뭐가 부당해,0
199,얼마부터 물을 탈,0
200,아베 총리 콘크리트 지지층도 등 돌렸,0
201,오세훈 서울시장님 당선 축하드려요,1
202,장기전은 공매가 유리해 호재보단,0
203,밤새 오른 미국장에 웃고 한국장에 짜증,0
204,민주당 앞으로 대 범죄 수사 안할거다,0
205,허접 몇일 투기세력 개털되었다고 소문 무,0
206,삼성이 재미는 없지만 쭈쭈,1
207,외인들은 고점에서 현금 잘 챙기는구나,1
208,나라망치는 건방진 똥덩어리,0
209,절반의 성공은,1
210,추위를 보면,0
211,문재인 대통령님 업적,1
212,윤짜장께서는 리셋을 합리화 시킵니다,0
213,다 우수워 보여,1
214,보통 유명인사는 해외서 바람을 잘 피잖어,1
215,아무것도 모르는 바보와,0
216,글로벌 공포와 위기때 매수해라,0
217,아주 좋아 싸게 살 기회가 팍팍 오는구,1
218,더러울 추 곰팡이 미 어리석,0
219,부럽다 하이닉스,0
220,에효 들아 잘 처 드시고,1
221,필독 에디슨 불법 아이피 해킹,0
222,이번 선거는 이재명의 승리,1
223,의미없다,0
224,삼전주가 석열이 지지율,0
225,위기를,0
226,이제 삼성전자 밖에 없다,0
227,교회발 코로나 집단감염 전염병취약지,0
228,재용이 감옥에서 충격받았나 좀 혁신적인,0
229,다 같이 잘묵고 잘 사는나라,1
230,자기 마누라 남편 칭찬하는,1
231,증시 끝났어 지금 증시가는 엄청난 공포중,0
232,단순 무식하지만 주린이도 수익낼 수 있는,1
233,재미,1
234,르몽드가 이재명 지지자들을,0
235,원에 매수해 매도중 황금연못드,0
236,잘하는 건지,1
237,저축은행 금리 보고 여기로 왔습니다 잘,1
238,빨갱이들의 선동질은 무섭다,0
239,무능은 탄핵의 사유가 될 수 없다,0
240,망신당한다고 말씀드렸죠 정신좀 차리세요,0
241,진정 힘든 주식이롤세 시간외 다,0
242,감사합니다,1
243,은밀한 죄,0
244,문재인의 장점,1
245,버핏과 성공학 사자들의 차이점,1
246,할인,1
247,절라도는 대단해,0
248,트럼프 반전이 기대되네,1
249,진중권 결국 만만한 게 박지현 이재명,0
250,한국이 문란하게 된것은 사형제도가 없어져,0
251,오늘 저점에서 사신분들 축하드리고,1
252,미중무역전쟁 홍콩선물 떡실신중,0
253,형법 살인죄 주술로 인한 상해나 살인은,0
254,만원 손해인디,0
255,석열이 지지 한다는 인간 들은,0
256,그나마 안전한 승차감,1
257,공약 안될 거 알고 한 속임수,0
258,삼성 틀딱충 아재 아주매미 초보들이,0
259,꼰대야 잘 봐라 틀,1
260,역지사지 측은지심 이 두가지면,0
261,존경스럽다 트럼프,1
262,개미들아 겁 먹고 던지지마라,0
263,전두환 전대통령을 옹호하는자에게 고함,0
264,평 임대 아파트의 행복,1
265,나스닥빠진다고 좋아하는 얼간이들아,1
266,기본소득 준다는데 안받겠다 그러면 호구죠,1
267,일취월장이야 순발력 굿 대응 능력 굿,1
268,삼전우 넘사벽 삼전,1
269,윤재앙이 너희들 걱정을 왜하냐,0
270,삼전희망,1
271,어리석다,0
272,삼송 너에 능력을 믿는다 가주아,1
273,아직도 모르는 사람있어,0
274,문죄인 문죄인 문죄인 정신병,0
275,무섭다 너무 무서워 손떨린다,0
276,억 억 억 억 거짓이면 구,0
277,대들도 아파트 매매에 적극 참여한다는,1
278,손절이 제일 어려운 일이요,0
279,삼전이 떨어질거라고 말만하면 욕을 쳐박네,0
280,안전한 주싯인가요,1
281,예수쟁이들아 니미 니할비 없이 어떻게,0
282,화천대유 사이좋게 나눠먹자,1
283,겁 먹은 외인,0
284,일 재앙 문재앙,0
285,윤 종빠들라 윤석열 공약도 거짓말로 하넹,0
286,여기도 신도시 저기도 신도시 전국에 아파,0
287,충격뉴스 문재앙 돼지수령님에게 하사,0
288,삼전 주식 안오른다고 불평하는것들,0
289,개독은 악마다,0
290,눈물나는 개미형들 국채보상운동 금모으기,0
291,내집마련 포기하고 주식시장에 뛰어든 동학,0
292,오늘 악마를 보았다,0
293,내일 새벽 에 대한 기대감,1
294,윤석열 최상목 추경호 한동훈 구속,1
295,삼전 함부로 들어가면 망신당한다고 말씀드,0
296,영국 백신접종 성공에 안심 오판,1
297,말씀 감사,1
298,과는 공으로 상쇄할수 없다 이 사실을,0
299,코스피 깨진 이유 분석,0
300,대한민국 사기 주식시장 지금 잘 보고 계,1
301,메타버스 반도체 필수,1
302,지난 역사를 잘 봐라,1
303,고만 안달복달해라,0
304,인텔물량 삼성전자 올 가능성 없다,0
305,바보 지금은 외인보다 개미가 더 똑똑해,0
306,집이 없다 자슥들아,0
307,비싸다,0
308,세일끝났쥬 올라가쥬,1
309,원짜리 노인정 고스톱,0
310,게시판을 더럽힌 죄 위중하도다,0
311,천지인 일꾼과 함께 하는 사람들,1
312,그만해 이러다 신용쓴개미들 다죽어,0
313,신용 더 써라 현재 천억으론 부족하다,0
314,위기가 기회다,0
315,주사파 이인영 주장의 오류,0
316,걱정들 하덜말어,0
317,소외 종목,0
318,인기는있고 하는데,1
319,세상사람들이 제대로 미쳐있구나,1
320,솔직히 떨어져도 상관없다,0
321,최고의 재테크는 젤제 운동,1
322,독립군죽이는 쪽빨군인압재비 남로당빨갱이,0
323,송영길 공천 배제에 민주 계파 갈등,0
324,북극의 눈물 후속편,0
325,개작두 함부로 타지마라,0
326,안심하자,1
327,소름이돋는다,0
328,요놈들 문재인 자나깨나 욕 하더니,0
329,저희 증권사에서는 금리 이벤트 시행중입니,1
330,금융당국 불법 공매도 첫 제재 국내,0
331,애플카 수혜주는 와이엠텍,1
332,뉴스 불법 공매도 이젠 못한다,0
333,대통령도 잘못뽑고 재명이도 안되는사람,0
334,국민똥파리 마리 문어벙 좃국 추미해,0
335,좌빨 틀딱들은 대가리가 좃나게,0
336,재앙이 지지율 마이 올랏던디,0
337,보수라고 주장하는 바보 진보,0
338,민주화 영웅 노태우 대통령님 편히 쉬세요,1
339,윤석열 이준석 울산서 만찬 회동 갈등,0
340,오늘 제대로 폭락하겠네,1
341,방어 대상이 북한에서 이젠 중국으로 바뀌,1
342,년전엔 억원 있으면 부자 지금,1
343,주식 참 어렵게 하네,0
344,메모리 수요 개선,1
345,말씀 감사,1
346,러시아는 바쁘다 땅넓어 항상 바람잘날없다,0
347,문 대통령 지지율이 윤가 지지율보다 높,0
348,비서가 빡시장한테 혐오하듯 난리생쇼였냐,0
349,느무 걱정들 마라,0
350,문재인 심정지 기대합니다,1
351,누구나 다 편하게 먹고살만해졌다 생각했는,1
352,도이치모터스 주가조작 학력위조 부동시,0
353,개돼지들이 진실에 관심이나 있으랴,1
354,하 중국이야 무서워서 벌벌기는건,0
355,개미들 폭탄인줄모르고 좋다고,1
356,장애인들 총집결했네 게시판옮겨야지,0
357,문파 대가 삼전으로 억을 벌어,1
358,삼성전자스마트폰 세계최고,1
359,이시대 정치인중에서도 참정치인이며 최고의,1
360,진보틀딱,0
361,충격 억클럽이란 국힘게이트공작 설계한,0
362,윤석열 장모 잔고위조 사건,0
363,줍줍 잘 했나유,1
364,연기금때문에 힘들다,0
365,월요일 기대,1
366,스트레스 엄청 주고 괴롭히는 정신 나간,0
367,보유중인 개미들에게 연기금은 재앙,0
368,더이상은 안 된다 코로나와 함께 선언,1
369,다음주가 걱정이다,0
370,오늘 세일 했네 언능사,1
371,주식한다는 놈들이 윤석열 지지한댄다,0
372,삼전 원의 저주,0
373,부칸 선제타격을 석녀리가 어버버 버튼 눌,0
374,만만한 공매의 먹잇감,0
375,만만 회복하면 이긴다 공매 허접들,0
376,기관이 반란을 도모했지만,0
377,배당락에 설레발치는 안티들 보니,0
378,손절하는게 최고의 익절 명심 또 명심,1
379,생각보다들빠진다 프로면 아직 프로이득,1
380,사기꾼 전과 범을 찍을수가 없다,0
381,수익은 차트를 벗어났을때 다가온다,1
382,좌좀비에게 어울리는 무능 부패 데모,1
383,다이빙대가 너무 이쁘네요,1
384,감옥 가는 후보,0
385,삼전 만전자 안 어울려,1
386,부동산 폭락해 주식 폭락해,0
387,데이트 폭력 조심,0
388,하락장으로 토착왜구 투기꾼들을 때려잡자,0
389,살인마 전두환,0
390,얼른빼라 실적도 최악이다,0
391,윤무당이 있는데 뭐를 기대하나 식충들아,1
392,지은 죄가 많아아 인간은 헬조선에서 태어,0
393,도로에 차가 없다,0
394,연기금도 현재로서는 포기 금년안으로,0
395,피래미 억이 몸통이라고 떠드는 조,0
396,삼성전자 폭락하면 기관 외인들은 더 좋아,1
397,삼전 종토방 열기가 뜨거워 좋다,1
398,아무리 화가 나도,0
399,경 주 최저가 갱신 축,1
400,좋은 주식을 가지고 단타질,1
401,아니 죄인이는 왜 자꾸 삼전 죽일려고하,0
402,미친 대갈통이 답이 없다는데,0
403,어제 아베마리아 디져가지고 기분좋게 한잔,1
404,주가 떨어져도 즐거운 하루,1
405,아니 머리가 있으면 누가 감옥갈지는 뻔한,0
406,거짓말 대장 인수위 불법 공매도 박살 내,0
407,자기를 빛나게 해주는걸 기뻐하는 사람이,1
408,윤석열 죽인다고하다가 사랑한다고하는 국짐,1
409,제목 김거니에게 한 마디도 못하던 사람들,0
410,모방송국이 폭로위주 흥미가 아니라,1
411,검사사칭 거짓 소명 논란 선관위,0
412,만 에 겁 먹어야 하나,0
413,사람을 잘못 뽑아서,0
414,지지율 또하락 긍정 부정,0
415,대통령 이하 지방자치 단체 장들은 경상,0
416,오늘 잘 하면 자 보것다 늦어도 낼,1
417,패륜후보 점죄멍 폐기물후보 점죄멍 음주운,1
418,축하합니다 만돌파했내요,1
419,조민씨 의혹만 가지고,0
420,반도체생산에 필수가스 러시아가 공급안할수,1
421,연휴기간 여행 포기하고,0
422,거니주가조작 걱정마라 시작도안했다 귀를멀,0
423,시초 프로올라도 부족한데 이쓰레기는 그,0
424,윤석열 도덕적인 음주운전 이란다,1
425,수익 프로,1
426,바이러스 세균전쟁,0
427,오늘의 교훈,1
428,벌써 문재인이 그립다,1
429,재앙이다,0
430,번째 문제입니다 잘 맞줘 보세요,1
431,민주당이 질투한다 그럼 뭐다,0
432,금요일 월요일 이틀간의 거짓 보합,0
433,세기 최악의 질환,0
434,보찌후보 대장동은 얘기말라네 범인이 확실,0
435,그래도 허접대기처럼 이상씩 안빠지잖,0
436,윤석열 지지자들 보면 대가리 깨고 싶,0
437,윤바보 보단 허경영이가 만배는 낫다,1
438,국민연금 지옥이네 이것들부터 특검들어가,0
439,배려 라곤 없어서 나에게 악만 베플고 집,0
440,연기금이나 민주당 문재인정부는 흉악하고,0
441,그릇된 입술을 가진 우둔한 자보다 가난해,0
442,짐 들 을,0
443,문 재 인 통 령 님 잘,1
444,한심한 이대녀 천은미를 비판한다,0
445,문재인대통령님 감사합니다,1
446,문재인 까는 찢재명 지지자들,0
447,윤석열이 당선되고 주식에 희망이 없어졌다,1
448,회복이 왜 어려운 이유 이론 설명,0
449,국정원딸도 인정할껄,1
450,난 층에 물린사람들이 부럽다,0
451,문재인을 입국시 감옥에 격리시켜라,0
452,주식전문가 유투버 나오시는분,1
453,아베는 나쁜 이웃이였다,0
454,매수한 개인은 감사하다고 한마디 정도는,1
455,도대체 니가 좋아,1
456,패배의원인 통수경북장애우후보의 무공약,0
457,공수병에 미친 문죄인이 더불어공산당을 어,0
458,역시 한국 주식은 먹튀가 답,0
459,위기의 시대,0
460,대통령 국민 실망 키우는 화법 문제,0
461,윤두창이 재벌들이 지지하던데,0
462,오 동시호가 버프,1
463,문 죄 앙 은 중국에 역사,0
464,짜증나네,0
465,위기는 기회,0
466,올랐다구 기뻐 말구 빠졌다구 슬퍼말아유,1
467,진짜 거짓없고 월봉봐,0
468,나경원 아들딸 입시비리는 누가 보호해 주,0
469,윤석열 지지율폭등 외국인 한국증시이탈,0
470,깡통찬 애들은 문가질 못하게 하자 냉무,0
471,개인 손해본다 주팔이 바람잡이,0
472,국민의힘 좋아서 찍은 것 아니다,1
473,돈에 미친 의사들이 발악하는 것 보니,0
474,물려도 좋아,1
475,허경영 군면제 지지,0
476,니미,0
477,축하합니다,1
478,한사람이 다가지고 있어도 가치가 내려가지,1
479,수익인 사람들,1
480,삼성 재무재표도 좋고 뉴스도 좋고 성적도,1
481,이재명 대통령되면 국민들 일 적게 해,0
482,이재용 범죄자 옹호하는 사람들 보세요,0
483,누가통령되서 기업삥뜯어라하더냐 불량한 도,0
484,문재인 지지율 향해 가즈아,0
485,코스피 최고점에서 매수하고 망신당하지 마,0
486,한국 언론 신뢰도 년째 최하위,1
487,대통령은 능력을 보여줘야 하고,1
488,공매제도나 좀 개선해라,1
489,장애인활동보조가족허용 국민청원동참,0
490,경상디언 한국말을 못하는 이유,0
491,나 왕자병,0
492,아이디 세개야 나를 처단해,0
493,방역 질병이다,0
494,국격 떨어지는 땡칠이 뽑고 나라가 잘 될,1
495,바이러스 세균전쟁,0
496,부정 사전투표는 만 가지고 있나,0
497,좌빨 문재앙이 대북 삐라에 목매는 이유,0
498,이글 쓴 인간 백프로 빨갱이 잘가라 지옥,0
499,미친 삼전 보내,0
500,매달 장애인에 기부했었는데,0
501,실적 좋아도 그전에 너무 오른거여,1
502,시총큰거라 잘못감 개인들많아서 세력도,0
503,미친 개미들,0
504,잘 먹고 갑니다,1
505,지금까지 개인들 사고팔고 잘 해왔는데,1
506,여기 미친 인간들 많네 개 돼지들,0
507,아직도 너무나 비싸다,0
508,강하게 밀어 올린다,1
509,좌파는 연애에 목숨걸고 극우파는 방석집에,1
510,빨갱이 네이버가 열심히 진실의 내 글을,1
511,복리 적금들러 왔습니다,1
512,유로 숏 성공 바닥 다시잡아준다,1
513,말씀 감사,1
514,단합 좀 해라 욕심 버리고,0
515,울고싶어라,0
516,수익성 악화로 겔노트 사업접어,1
517,윤호중 당내비판 여론을 희석시키기 위해,0
518,다음 주 장은 좋아질텐데,1
519,반도체 실적 개선 눈앞 삼성전자 부,1
520,청취율 신뢰도,1
521,더 빼라 너무약해 장난치냐,0
522,대선주로 원금회복해 봅시다,0
523,진정한 승리자,1
524,삼성전자 언택트 경제 반도체에 긍정적,1
525,가짜 연기 아닌 여자들의 찐텐 신음소리는,0
526,지지율,0
527,잔고 없어서 계좌이체하는사이,0
528,해결책 없다,0
529,만전자 기대해도 되냐,1
530,배당락도 다가오고 미장도 좋고,1
531,노인들이 김일성 박정희를 찬양한 이유,1
532,장난해,0
533,이재용 다시 감옥가자,0
534,미국의회에서 모욕당한 문정부,0
535,태극 음 양 이 조화를 이루거나 무극이되,1
536,어떻게하면 임기 달만에 지지율 냐,0
537,부정투표 타도 하자,0
538,지금은 하방이 이길때 고금리 물가 최고,1
539,재용이 구치소행 버스 타는데 눈물 글썽이,0
540,미애씨 사랑혀 서울 시장 된다 하여도 나,1
541,옳고 그름 진실과 거짓 구분도 못하는,1
542,최악 맞아 요,0
543,니네들은 문통한테 감사해야해 방역도 이렇,1
544,점재명이 화가나는 이유,0
545,골드만 미친 변태 들,0
546,박근혜 사면 되면 분노한다,0
547,진자오늘 쩐다 삼전매수 대단해,0
548,하도 프로보고 이개명이 지지한다해서 봤,0
549,꽁산주의 기본은 거짓말,0
550,반대매매 죽이기 작전인거 모르나 빚,0
551,년 전만해도 대깨문들 검찰 찬양,1
552,아쥼매들 오똑해 오똑해,0
553,일본 돈 가치 폭락,1
554,너무 부정적으로 보는게 아니신지,0
555,변희재 김건희 여사 설칠수록 지지,0
556,방역 조카든소리하더니만 문어벙아 인정할,1
557,걱정마라 개미들아,0
558,이상하게도 이늠의 나라는 젊은 자슥,1
559,미친 환율에도 코스피 상승,0
560,반란 내란수괴 압재비 대구경북연놈몰아내,0
561,벌 써 지나간 월북이슈하나 던져주니,0
562,걱정마라 얼마전에도 이러다 떡상했다,0
563,내 어제 오늘은 치욕의 날이라 했다,0
564,고령화 사회의 문제 해결방안,0
565,실수했네,0
566,꼰대늠들 정신못차리고 해,0
567,재집권 기대감에 오르네,1
568,군대라고 가본적도 갈생각도 없는 잘,1
569,재앙이 내린다 샤랄랄랄라,0
570,언론새끼들 헛소리하는것좀 믿지마쇼,0
571,떨어져서 아픈 놈들,0
572,좋은 이론 논문 아이디어 특허,1
573,걱정마러 윤씨가 다 해줄꺼야,0
574,엘지엔솔발 수급 재앙 삼전팔고 엔솔매수,0
575,천만원정도 손해 보네요,0
576,듣보잡 문완용 남조선홍어공화국,0
577,이재명의 거짓,0
578,윤석열 청부고발 의혹에 정치권 발칵,0
579,멀 걱정하십니까,0
580,김어준이 좋아하는 개딸들에게,1
581,중공이 너무 싫다,0
582,삼성전자 내일부터 만원 지지선 향한다,0
583,속보 삼성전자 완성차 사업 안한다,1
584,이죄멍 건보료 혜택은 중국인에 더 줘야한,1
585,지루하죠,0
586,좌빨 쓰레기들아,0
587,땅덩어리 작아 약소 국가니 서럽다,0
588,그냥 노답인 주식,0
589,꼭 잊지들마세요 공포에사라,0
590,할일이 사진박아서 국민들 화 돋구는,0
591,하늘이내린 뽀째명이 대단하다 거짓말 달인,0
592,화가 난다,0
593,문재앙때보다 낫다 코로나때,1
594,하락장 만세 투기꾼들을 때려잡자,0
595,주식시장이라는게 워나 책임감이라는게없다말,1
596,지금보니 조국 전 장관이 정말 안쓰럽다,0
597,문재인 백신 브랜드 선택할수 없다,0
598,매출최고 회사 최고 무슨의미있나,1
599,희망도 없는 개잡주 아직도 들고감,1
600,살인자 가족과 사돈 관계,0
601,도쿄올림픽 취소 반일 동학개미의 승리,1
602,년의 영광을 다시 한번,1
603,방송국 저널들 싹다 바꿔야 맹탕 그놈의,0
604,개미 형님들 매수세 눈물나네,0
605,반도체 생산력 강세 만원,1
606,찍새들아 아기복어를 사랑해라,1
607,말씀 감사,1
608,위기가 곧 기회디,0
609,디스플레이 관련 회성 이익이 포함이라는,1
610,나 윤석열 안좋아함 홍준표 좋아하지,1
611,밀양은 양산 문재인이 잘못,0
612,그렇게 비난하는 토론 유세하고,0
613,일단 일선 깨진건 어쩔수없다,0
614,엘리트 영부인을 처음 맞이해서 못따라오는,1
615,매출과 영업이익 소폭 기대 이상,1
616,사전투표가 진짜 편리한게 투표소 아무곳에,1
617,암것도모르는 주린이면 걍가만히있어,0
618,일왕에 혈서로 충성을 맹세한 쪽바리 박정,1
619,준석이는 당대표 자질이 아니다,1
620,이제 위드코로나의 성공을 위해서 강제 접,1
621,코인은 지금 공포 단계가 아니다,0
622,이재명 보다 이낙연이 더 낫다,1
623,공황장애자가 대통령 해서 나라 잘 되겠냐,1
624,대한민국 대표기업을 공매도 로 훼손,0
625,슬프다 대한민국의 별이 지네,0
626,금융 증권범죄 합동수사단 왜 폐지 시켰어,0
627,윤석열 대선주자 지지율 돌파,0
628,하나님 야홰란 단어를 함부로 들먹인 놈은,0
629,윤석열이가 대통령에 떨어지면 가장 좋아할,1
630,삼성전자 기본 가치는,1
631,집값 폭등 부동산 노름 사회,0
632,오늘 코스닥 미친 폭등인데,0
633,지지 신평 변호사 이재명 직격,0
634,문재인이 그립다,1
635,원화의 저주 한국인의 눈물,0
636,년뒤에 팔지말껄 하고 후회할거다,0
637,분개할 필요없다,0
638,외국인보다 더 나쁜 넘들이,0
639,한동훈 원희룡 이시원 박보균 이상민 정,1
640,무식하고 가난한 대구경북보리뮨듕이들이,0
641,반도체 생산력 강세 만원,1
642,지하벙커 걱정마라 법사님을 영접하라 거,0
643,야 욕심많고 이기심으로 충만한,0
644,위기 반드시 읽어 보세요,0
645,범죄자 가족 사표 던진놈에게 조중동 별,0
646,순종에 기쁘고 감사한 말씀,1
647,무자격 유동규를 내세우려 형을 죽음으로,0
648,미국주식이 세금 내도 이득이다,1
649,세계 최고 방역 명 언저리로 유,1
650,삼전지옥,0
651,난 빚 안갚아도 된다고봐요,0
